type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_12_LSD,B,96,3,Sep,2,quadratic,0:00:39.371155,OPTIMAL,125177710513,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Dec,2,constant,0:00:41.058759,OPTIMAL,125030290425,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Dec,2,exponential,0:01:01.597775,OPTIMAL,124817499132,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Dec,2,linear,0:00:38.253579,OPTIMAL,125032018058,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Dec,2,quadratic,0:01:00.566419,OPTIMAL,124880062168,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Jul,2,constant,0:00:32.819846,OPTIMAL,125058557538,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Jul,2,exponential,0:01:00.490272,OPTIMAL,124794782365,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Jul,2,linear,0:00:38.491989,OPTIMAL,124984490237,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Jul,2,quadratic,0:00:37.745478,OPTIMAL,125009692086,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Sep,2,constant,0:00:34.776563,OPTIMAL,124965610423,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Sep,2,exponential,0:00:38.988577,OPTIMAL,125014274206,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Sep,2,linear,0:00:36.328379,OPTIMAL,125150768426,0
HEURISTIC_MEDIAN_12_LSD,B,96,4,Sep,2,quadratic,0:00:56.446010,OPTIMAL,124854811922,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Dec,2,constant,0:01:44.361590,OPTIMAL,124924631201,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Dec,2,linear,0:01:39.171620,OPTIMAL,124933061362,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Dec,2,quadratic,0:00:48.253419,OPTIMAL,125178399547,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Jul,2,constant,0:01:36.122499,OPTIMAL,124930814320,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Jul,2,linear,0:00:45.866940,OPTIMAL,125113521512,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Jul,2,quadratic,0:00:46.146430,OPTIMAL,125051880605,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Sep,2,constant,0:01:36.843816,OPTIMAL,124962731210,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Sep,2,linear,0:01:38.464853,OPTIMAL,124973160143,0
HEURISTIC_MEDIAN_12_LSD,B,96,5,Sep,2,quadratic,0:01:29.806569,OPTIMAL,124933044281,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Dec,2,constant,0:02:02.411355,OPTIMAL,125926588976,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Dec,2,exponential,0:01:52.997163,OPTIMAL,125912192910,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Dec,2,linear,0:04:40.892001,OPTIMAL,125783092402,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Dec,2,quadratic,0:04:31.904732,OPTIMAL,125810947063,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Jul,2,constant,0:01:44.963791,OPTIMAL,125924204668,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Jul,2,exponential,0:02:34.327874,OPTIMAL,125802147019,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Jul,2,linear,0:01:41.597074,OPTIMAL,125933977985,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Jul,2,quadratic,0:02:32.846405,OPTIMAL,125793084765,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Sep,2,constant,0:01:50.378794,OPTIMAL,125891932948,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Sep,2,exponential,0:02:22.308368,OPTIMAL,125779259055,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Sep,2,linear,0:02:30.200953,OPTIMAL,125750941354,0
HEURISTIC_MEDIAN_24_LAD,B,96,1,Sep,2,quadratic,0:01:50.835717,OPTIMAL,125930093168,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Dec,2,constant,0:01:43.627220,OPTIMAL,126141380706,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Dec,2,exponential,0:02:07.095546,OPTIMAL,125601539709,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Dec,2,linear,0:01:39.231097,OPTIMAL,126103900052,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Dec,2,quadratic,0:02:04.719891,OPTIMAL,126065920102,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Jul,2,constant,0:03:47.133566,OPTIMAL,125632334572,0
